"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/27/2018","360010012","1","0.044","ppm","41","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/28/2018","360010012","1","0.041","ppm","38","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/01/2018","360010012","1","0.039","ppm","36","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/02/2018","360010012","1","0.035","ppm","32","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/03/2018","360010012","1","0.04","ppm","37","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/04/2018","360010012","1","0.037","ppm","34","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/05/2018","360010012","1","0.042","ppm","39","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/06/2018","360010012","1","0.044","ppm","41","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/07/2018","360010012","1","0.04","ppm","37","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/08/2018","360010012","1","0.04","ppm","37","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/09/2018","360010012","1","0.042","ppm","39","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/10/2018","360010012","1","0.041","ppm","38","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/11/2018","360010012","1","0.042","ppm","39","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/12/2018","360010012","1","0.041","ppm","38","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/13/2018","360010012","1","0.042","ppm","39","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
